"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71"
"17087","3","7","5","3","6","2","6","3","6","4","14","9","10","14","10","9","8","11","9","6","14","13","12","14","12","14","11","12","12","18","14","17","21","14","15","16","12","21","18","23","20","24","22","20","27","19","24","22","29","24","28","26","26","28","28","27","31","29","29","29","7","7","10","7","5","13","10","8","12","9"
"17088","3","5","8","3","1","4","6","5","3","6","6","11","13","6","8","9","11","7","8","10","20","12","16","20","21","16","17","8","10","17","21","18","19","21","22","16","21","18","20","18","22","28","25","22","24","23","21","25","24","19","29","28","27","29","32","27","30","32","30","29","13","13","6","13","3","9","6","10","8","6"
"17089","4","2","5","4","6","4","3","1","3","5","13","10","10","13","8","6","9","8","9","6","13","13","15","13","16","13","13","12","11","15","15","16","18","15","21","23","21","21","19","22","21","28","21","21","22","25","25","25","26","29","31","35","33","31","32","34","27","30","27","30","8","9","5","8","8","9","10","13","5","10"
"17090","3","4","6","3","4","5","4","2","4","7","6","7","9","6","7","12","11","3","10","10","16","9","10","16","19","16","18","18","12","16","18","18","19","18","19","20","19","20","22","19","27","23","24","27","20","22","22","24","26","27","29","30","26","29","31","28","30","27","30","32","13","4","7","13","6","11","8","8","11","6"
"17091","4","6","6","4","1","3","5","4","6","9","5","12","7","5","15","4","15","10","10","10","10","14","9","10","16","13","15","12","11","18","25","21","15","25","21","18","21","19","19","19","26","27","15","26","24","22","23","20","21","19","30","32","31","30","31","31","28","30","29","28","6","5","12","6","13","6","6","9","7","10"
"17092","6","6","5","6","5","7","8","9","7","8","10","11","14","10","13","7","9","10","9","13","11","16","14","11","17","18","12","15","15","14","23","18","17","23","22","21","15","18","21","21","23","24","28","23","25","27","26","21","27","23","30","29","29","30","28","30","29","29","28","29","10","12","8","10","13","9","3","8","5","8"
"17093","4","6","4","7","6","12","5","1","5","6","8","7","8","8","8","17","5","16","8","13","13","11","13","14","13","18","16","16","14","13","22","19","19","24","19","24","22","20","21","19","24","28","23","29","23","26","26","21","24","29","25","28","29","30","29","32","29","27","31","29","8","5","3","6","10","7","8","7","5","8"
"17094","5","5","6","6","9","7","5","2","7","4","14","11","9","7","9","9","12","11","10","13","14","15","16","19","19","13","16","15","15","16","21","21","23","21","20","14","21","17","16","18","21","26","24","28","21","23","21","21","28","19","28","30","30","30","29","32","25","31","29","28","11","3","10","9","10","12","8","9","7","7"
"17095","13","6","7","6","7","7","3","8","6","3","14","8","12","7","11","11","5","11","10","6","14","15","14","17","13","12","19","15","14","12","15","18","19","20","13","16","19","16","17","13","27","28","19","26","25","25","27","26","26","24","31","35","31","32","31","27","31","30","33","31","6","5","3","4","9","15","8","9","12","9"
"17096","4","2","7","4","8","9","5","1","7","5","5","8","13","8","10","11","9","8","10","12","16","10","15","16","11","12","16","11","13","12","18","16","22","17","19","16","18","19","22","17","25","23","22","27","22","20","22","20","28","27","27","23","30","27","32","29","28","28","30","28","9","8","5","6","7","5","8","11","7","14"
"17097","2","5","6","2","3","7","5","4","4","5","14","10","8","12","10","11","11","10","9","10","17","14","11","15","13","14","15","20","15","18","19","19","17","20","23","16","18","21","20","22","23","24","24","22","24","28","24","22","26","23","29","28","24","26","31","30","29","26","32","29","12","6","5","10","9","9","6","9","6","9"
"17098","6","3","3","4","6","8","5","10","6","5","9","10","10","8","11","9","8","10","7","10","13","19","20","14","17","9","10","18","15","13","18","21","25","25","21","13","16","18","17","21","26","27","25","27","27","22","22","24","22","27","29","29","33","30","27","29","26","25","30","31","10","8","12","10","9","9","8","10","11","10"
"17099","10","5","3","7","2","1","6","4","5","5","10","8","4","11","11","5","8","5","6","10","10","17","10","13","12","12","9","16","15","15","12","21","20","17","17","18","18","20","20","20","25","23","26","23","23","27","26","25","28","26","25","28","29","29","32","29","33","30","30","28","8","13","10","9","12","10","11","12","14","6"
"17100","3","5","3","5","6","6","6","7","5","9","15","5","5","13","13","10","12","9","13","14","16","9","15","14","13","12","17","15","16","14","17","21","18","20","20","18","22","16","19","18","24","23","22","25","21","25","23","23","20","23","24","29","29","31","27","30","28","25","30","29","1","-3","8","7","11","8","12","4","9","6"
